benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy
ep_annihilation,500,local,1,0,true,0.000046,500,10.799,1,0.3607,0.3607,0.1922,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,1,1,true,0.000046,500,10.941,1,0.3654,0.3654,0.1860,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,1,2,true,0.000046,500,10.846,1,0.3623,0.3623,0.1800,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,1,3,true,0.000046,500,10.941,1,0.3654,0.3654,0.1816,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,1,4,true,0.000046,500,10.965,1,0.3662,0.3662,0.1842,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,2,0,true,0.001088,500,0.460,1,0.0154,0.0077,0.9320,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,2,1,true,0.000820,500,0.610,1,0.0204,0.0102,0.6731,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,2,2,true,0.000597,500,0.837,1,0.0280,0.0140,0.9257,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,2,3,true,0.001063,500,0.470,1,0.0157,0.0079,0.8922,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,2,4,true,0.001042,500,0.480,1,0.0160,0.0080,0.9323,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,4,0,true,0.000275,500,1.817,1,0.0607,0.0152,0.9193,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,4,1,true,0.000275,500,1.821,1,0.0608,0.0152,0.9202,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,4,2,true,0.000282,500,1.774,1,0.0593,0.0148,0.9216,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,4,3,true,0.000270,500,1.853,1,0.0619,0.0155,0.9192,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,4,4,true,0.000270,500,1.852,1,0.0619,0.0155,0.9189,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,8,0,true,0.000341,500,1.466,1,0.0490,0.0061,0.9000,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,8,1,true,0.000355,500,1.409,1,0.0471,0.0059,0.9022,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,8,2,true,0.000428,500,1.169,1,0.0390,0.0049,0.9142,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,8,3,true,0.000377,500,1.326,1,0.0443,0.0055,0.9064,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,500,local,8,4,true,0.000355,500,1.410,1,0.0471,0.0059,0.9010,0,0,0,0,0,500,0,0,0,,,1000,1000,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,0,true,0.000035,1000,28.409,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000,0,0,0,,,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,1,true,0.000031,1000,32.258,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000,0,0,0,,,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,2,true,0.000033,1000,30.211,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000,0,0,0,,,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,3,true,0.000035,1000,28.409,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000,0,0,0,,,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,sequential,0,4,true,0.000030,1000,33.113,0,1.0000,1.0000,0.0000,0,0,0,0,0,1000,0,0,0,,,2000,0,dense,10000,disable-under-delta
ep_annihilation,1000,local,1,0,true,0.000037,1000,27.248,1,0.9019,0.9019,0.1962,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,1,1,true,0.000036,1000,27.701,1,0.9169,0.9169,0.1884,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,1,2,true,0.000036,1000,27.701,1,0.9169,0.9169,0.1884,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,1,3,true,0.000036,1000,28.011,1,0.9272,0.9272,0.1793,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,1,4,true,0.000036,1000,27.701,1,0.9169,0.9169,0.1856,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,0,true,0.000582,1000,1.719,1,0.0569,0.0285,0.9369,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,1,true,0.001272,1000,0.786,1,0.0260,0.0130,0.9341,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,2,true,0.001271,1000,0.787,1,0.0260,0.0130,0.9333,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,3,true,0.001236,1000,0.809,1,0.0268,0.0134,0.9297,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,2,4,true,0.001175,1000,0.851,1,0.0282,0.0141,0.9303,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,0,true,0.000521,1000,1.918,1,0.0635,0.0159,0.9179,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,1,true,0.000510,1000,1.962,1,0.0650,0.0162,0.9188,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,2,true,0.000494,1000,2.023,1,0.0670,0.0167,0.9162,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,3,true,0.000501,1000,1.998,1,0.0661,0.0165,0.9161,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,4,4,true,0.000502,1000,1.991,1,0.0659,0.0165,0.9156,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,0,true,0.000951,1000,1.052,1,0.0348,0.0044,0.9415,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,1,true,0.000738,1000,1.355,1,0.0449,0.0056,0.9286,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,2,true,0.000752,1000,1.330,1,0.0440,0.0055,0.9310,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,3,true,0.000706,1000,1.416,1,0.0469,0.0059,0.9285,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,1000,local,8,4,true,0.000664,1000,1.505,1,0.0498,0.0062,0.9253,0,0,0,0,0,1000,0,0,0,,,2000,2000,dense,10000,disable-under-delta
ep_annihilation,5000,sequential,0,0,true,0.000202,5000,24.691,0,1.0000,1.0000,0.0000,0,0,0,0,0,5000,0,0,0,,,10000,0,dense,10000,disable-under-delta
ep_annihilation,5000,sequential,0,1,true,0.000177,5000,28.233,0,1.0000,1.0000,0.0000,0,0,0,0,0,5000,0,0,0,,,10000,0,dense,10000,disable-under-delta
ep_annihilation,5000,sequential,0,2,true,0.000178,5000,28.090,0,1.0000,1.0000,0.0000,0,0,0,0,0,5000,0,0,0,,,10000,0,dense,10000,disable-under-delta
ep_annihilation,5000,sequential,0,3,true,0.000158,5000,31.666,0,1.0000,1.0000,0.0000,0,0,0,0,0,5000,0,0,0,,,10000,0,dense,10000,disable-under-delta
ep_annihilation,5000,sequential,0,4,true,0.000371,5000,13.477,0,1.0000,1.0000,0.0000,0,0,0,0,0,5000,0,0,0,,,10000,0,dense,10000,disable-under-delta
ep_annihilation,5000,local,1,0,true,0.000318,5000,15.699,1,0.5589,0.5589,0.1943,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,1,1,true,0.000304,5000,16.469,1,0.5863,0.5863,0.2022,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,1,2,true,0.000289,5000,17.283,1,0.6153,0.6153,0.2001,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,1,3,true,0.000288,5000,17.385,1,0.6189,0.6189,0.2010,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,1,4,true,0.000592,5000,8.453,1,0.3009,0.3009,0.1214,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,2,0,true,0.004509,5000,1.109,1,0.0395,0.0197,0.9380,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,2,1,true,0.003657,5000,1.367,1,0.0487,0.0243,0.9457,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,2,2,true,0.003470,5000,1.441,1,0.0513,0.0256,0.9296,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,2,3,true,0.005411,5000,0.924,1,0.0329,0.0164,0.9436,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,2,4,true,0.003953,5000,1.265,1,0.0450,0.0225,0.9265,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,4,0,true,0.002952,5000,1.694,1,0.0603,0.0151,0.9280,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,4,1,true,0.003036,5000,1.647,1,0.0586,0.0147,0.9353,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,4,2,true,0.003432,5000,1.457,1,0.0519,0.0130,0.9188,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,4,3,true,0.003631,5000,1.377,1,0.0490,0.0123,0.9252,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,4,4,true,0.006161,5000,0.812,1,0.0289,0.0072,0.9520,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,8,0,true,0.003335,5000,1.499,1,0.0534,0.0067,0.9293,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,8,1,true,0.003303,5000,1.514,1,0.0539,0.0067,0.9297,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,8,2,true,0.003573,5000,1.399,1,0.0498,0.0062,0.9336,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,8,3,true,0.003303,5000,1.514,1,0.0539,0.0067,0.9280,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,5000,local,8,4,true,0.002991,5000,1.672,1,0.0595,0.0074,0.9228,0,0,0,0,0,5000,0,0,0,,,10000,10000,dense,10000,disable-under-delta
ep_annihilation,10000,sequential,0,0,true,0.000351,10000,28.466,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,10000,disable-under-delta
ep_annihilation,10000,sequential,0,1,true,0.000334,10000,29.967,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,10000,disable-under-delta
ep_annihilation,10000,sequential,0,2,true,0.000347,10000,28.794,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,10000,disable-under-delta
ep_annihilation,10000,sequential,0,3,true,0.000345,10000,28.944,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,10000,disable-under-delta
ep_annihilation,10000,sequential,0,4,true,0.000355,10000,28.193,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,10000,disable-under-delta
ep_annihilation,10000,local,1,0,true,0.001791,10000,5.582,1,0.1939,0.1939,0.1968,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,1,1,true,0.000975,10000,10.257,1,0.3562,0.3562,0.2321,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,1,2,true,0.000936,10000,10.686,1,0.3711,0.3711,0.2129,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,1,3,true,0.000925,10000,10.812,1,0.3755,0.3755,0.1975,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,1,4,true,0.001001,10000,9.992,1,0.3470,0.3470,0.3252,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,2,0,true,0.006361,10000,1.572,1,0.0546,0.0273,0.9206,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,2,1,true,0.006042,10000,1.655,1,0.0575,0.0287,0.9294,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,2,2,true,0.007077,10000,1.413,1,0.0491,0.0245,0.9401,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,2,3,true,0.007153,10000,1.398,1,0.0486,0.0243,0.9348,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,2,4,true,0.007095,10000,1.409,1,0.0489,0.0245,0.9262,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,4,0,true,0.006971,10000,1.434,1,0.0498,0.0125,0.9306,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,4,1,true,0.006889,10000,1.452,1,0.0504,0.0126,0.9281,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,4,2,true,0.007274,10000,1.375,1,0.0477,0.0119,0.9339,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,4,3,true,0.007975,10000,1.254,1,0.0435,0.0109,0.9383,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,4,4,true,0.008445,10000,1.184,1,0.0411,0.0103,0.9391,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,8,0,true,0.008369,10000,1.195,1,0.0415,0.0052,0.9306,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,8,1,true,0.008150,10000,1.227,1,0.0426,0.0053,0.9333,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,8,2,true,0.008266,10000,1.210,1,0.0420,0.0053,0.9324,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
ep_annihilation,10000,local,8,3,true,0.009782,10000,1.022,1,0.0355,0.0044,0.9435,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,10000,disable-under-delta
