demo,input,expected,workers,arm,rc,wall_secs,interactions,value,value_ok,g1_match
Demo07_deg2_baseline,"{"coeffs":[1,1,1],"x":2}",7,8,docker,0,0.00,26,7,true,true
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,1,in-process,0,0.00,28,10,true,NA
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,1,docker,0,0.00,28,10,true,true
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,2,in-process,0,0.00,28,10,true,NA
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,2,docker,0,0.00,28,10,true,true
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,4,in-process,0,0.00,28,10,true,NA
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,4,docker,0,0.00,28,10,true,true
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,8,in-process,0,0.00,28,10,true,NA
Demo08_deg2_zero_mid,"{"coeffs":[1,0,1],"x":3}",10,8,docker,0,0.00,28,10,true,true
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,1,in-process,0,0.00,19,23,true,NA
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,1,docker,0,0.00,19,23,true,true
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,2,in-process,0,0.00,19,23,true,NA
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,2,docker,0,0.00,19,23,true,true
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,4,in-process,0,0.00,19,23,true,NA
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,4,docker,0,0.00,19,23,true,true
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,8,in-process,0,0.00,19,23,true,NA
Demo09_lin_c1_nontrivial,"{"coeffs":[3,5],"x":4}",23,8,docker,0,0.00,19,23,true,true
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,1,in-process,0,0.00,1220,70000,true,NA
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,1,docker,0,0.00,1220,70000,true,true
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,2,in-process,0,0.00,1220,70000,true,NA
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,2,docker,0,0.00,1220,70000,true,true
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,4,in-process,0,0.00,1220,70000,true,NA
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,4,docker,0,0.00,1220,70000,true,true
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,8,in-process,0,0.00,1220,70000,true,NA
Demo10_deg2_max_scale,"{"coeffs":[10000,500,1],"x":100}",70000,8,docker,0,0.00,1220,70000,true,true
