benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy,vmrss_peak_mb,vmrss_current_end_mb,stop_reason
ep_annihilation,3162278,sequential,0,0,true,0.072116,3162278,43.850,0,1.0000,1.0000,0.0000,0,0,0,0,0,3162278,0,0,0,,,6324556,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.217403,10000000,45.997,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.217573,10000000,45.962,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.222636,10000000,44.916,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.232696,10000000,42.975,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000000,sequential,0,0,true,0.231845,10000000,43.132,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000000,0,0,0,,,20000000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000233,10000,42.937,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002194,10000,4.558,1,0.1062,0.0531,0.8596,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000226,10000,44.326,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002324,10000,4.303,1,0.0971,0.0485,0.8828,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000258,10000,38.700,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002237,10000,4.470,1,0.1155,0.0578,0.8637,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000248,10000,40.388,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002301,10000,4.346,1,0.1076,0.0538,0.8826,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,sequential,0,0,true,0.000240,10000,41.719,0,1.0000,1.0000,0.0000,0,0,0,0,0,10000,0,0,0,,,20000,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,10000,local,2,0,true,0.002324,10000,4.303,1,0.1031,0.0516,0.8895,0,0,0,0,0,10000,0,0,0,,,20000,20000,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000708,31623,44.640,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.009357,31623,3.380,1,0.0757,0.0379,0.8858,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000646,31623,48.982,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.009878,31623,3.201,1,0.0654,0.0327,0.8845,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000675,31623,46.842,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,local,2,0,true,0.009520,31623,3.322,1,0.0709,0.0355,0.8859,0,0,0,0,0,31623,0,0,0,,,63246,63246,dense,,disable-under-delta,0.000000,0.000000,
ep_annihilation,31623,sequential,0,0,true,0.000690,31623,45.804,0,1.0000,1.0000,0.0000,0,0,0,0,0,31623,0,0,0,,,63246,0,dense,,disable-under-delta,0.000000,0.000000,
