benchmark,input_size,mode,workers,repetition,correct,wall_clock_secs,total_interactions,mips,rounds,speedup,efficiency,overhead_ratio,peak_memory_bytes,bytes_sent,bytes_received,con_con,dup_dup,era_era,con_dup,con_era,dup_era,peak_memory_during_construction,peak_memory_during_reduction,agent_count_at_construction_complete,live_agent_count_watermark,representation,chunk_size,recycle_policy
ep_annihilation,100000,local,1,1,true,0.002709,100000,36.919,1,0.8235,0.8235,0.1929,31154176,0,0,0,0,100000,0,0,0,24600576,31154176,200000,200000,dense,1000,disable-under-delta
ep_annihilation,100000,local,1,2,true,0.002657,100000,37.635,1,0.8395,0.8395,0.1917,31154176,0,0,0,0,100000,0,0,0,24600576,31154176,200000,200000,dense,1000,disable-under-delta
ep_annihilation,100000,local,1,3,true,0.002743,100000,36.462,1,0.8133,0.8133,0.1832,31154176,0,0,0,0,100000,0,0,0,24600576,31154176,200000,200000,dense,1000,disable-under-delta
ep_annihilation,100000,local,1,4,true,0.002630,100000,38.020,1,0.8481,0.8481,0.1918,31154176,0,0,0,0,100000,0,0,0,24600576,31154176,200000,200000,dense,1000,disable-under-delta
ep_annihilation,316228,sequential,0,0,true,0.006729,316228,46.995,0,1.0000,1.0000,0.0000,73482240,0,0,0,0,316228,0,0,0,73482240,73482240,632456,0,dense,1000,disable-under-delta
ep_annihilation,316228,sequential,0,1,true,0.008224,316228,38.452,0,1.0000,1.0000,0.0000,80961536,0,0,0,0,316228,0,0,0,73482240,80961536,632456,0,dense,1000,disable-under-delta
ep_annihilation,316228,sequential,0,2,true,0.006887,316228,45.914,0,1.0000,1.0000,0.0000,80961536,0,0,0,0,316228,0,0,0,73482240,80961536,632456,0,dense,1000,disable-under-delta
ep_annihilation,316228,sequential,0,3,true,0.006931,316228,45.624,0,1.0000,1.0000,0.0000,80961536,0,0,0,0,316228,0,0,0,73482240,80961536,632456,0,dense,1000,disable-under-delta
ep_annihilation,316228,sequential,0,4,true,0.007157,316228,44.186,0,1.0000,1.0000,0.0000,80961536,0,0,0,0,316228,0,0,0,73482240,80961536,632456,0,dense,1000,disable-under-delta
ep_annihilation,316228,local,1,0,true,0.010165,316228,31.110,1,0.6819,0.6819,0.2508,89223168,0,0,0,0,316228,0,0,0,73482240,89223168,632456,632456,dense,1000,disable-under-delta
ep_annihilation,316228,local,1,1,true,0.009750,316228,32.433,1,0.7109,0.7109,0.2107,89223168,0,0,0,0,316228,0,0,0,73482240,89223168,632456,632456,dense,1000,disable-under-delta
ep_annihilation,316228,local,1,2,true,0.010032,316228,31.522,1,0.6909,0.6909,0.2464,89223168,0,0,0,0,316228,0,0,0,73482240,89223168,632456,632456,dense,1000,disable-under-delta
ep_annihilation,316228,local,1,3,true,0.009167,316228,34.497,1,0.7561,0.7561,0.2288,89223168,0,0,0,0,316228,0,0,0,73482240,89223168,632456,632456,dense,1000,disable-under-delta
ep_annihilation,316228,local,1,4,true,0.009387,316228,33.689,1,0.7384,0.7384,0.2461,89223168,0,0,0,0,316228,0,0,0,73482240,89223168,632456,632456,dense,1000,disable-under-delta
ep_annihilation,1000000,sequential,0,0,true,0.019433,1000000,51.459,0,1.0000,1.0000,0.0000,214302720,0,0,0,0,1000000,0,0,0,214302720,214302720,2000000,0,dense,1000,disable-under-delta
ep_annihilation,1000000,sequential,0,1,true,0.023303,1000000,42.912,0,1.0000,1.0000,0.0000,240345088,0,0,0,0,1000000,0,0,0,214302720,240345088,2000000,0,dense,1000,disable-under-delta
ep_annihilation,1000000,sequential,0,2,true,0.019611,1000000,50.993,0,1.0000,1.0000,0.0000,240410624,0,0,0,0,1000000,0,0,0,214302720,240410624,2000000,0,dense,1000,disable-under-delta
ep_annihilation,1000000,sequential,0,3,true,0.019240,1000000,51.976,0,1.0000,1.0000,0.0000,240410624,0,0,0,0,1000000,0,0,0,214302720,240410624,2000000,0,dense,1000,disable-under-delta
ep_annihilation,1000000,sequential,0,4,true,0.020598,1000000,48.548,0,1.0000,1.0000,0.0000,240410624,0,0,0,0,1000000,0,0,0,214302720,240410624,2000000,0,dense,1000,disable-under-delta
ep_annihilation,1000000,local,1,0,true,0.026105,1000000,38.306,1,0.7512,0.7512,0.2270,248782848,0,0,0,0,1000000,0,0,0,214302720,248782848,2000000,2000000,dense,1000,disable-under-delta
ep_annihilation,1000000,local,1,1,true,0.024993,1000000,40.011,1,0.7846,0.7846,0.2202,248782848,0,0,0,0,1000000,0,0,0,214302720,248782848,2000000,2000000,dense,1000,disable-under-delta
ep_annihilation,1000000,local,1,2,true,0.025029,1000000,39.954,1,0.7835,0.7835,0.2224,248782848,0,0,0,0,1000000,0,0,0,214302720,248782848,2000000,2000000,dense,1000,disable-under-delta
ep_annihilation,1000000,local,1,3,true,0.026128,1000000,38.273,1,0.7506,0.7506,0.2357,248782848,0,0,0,0,1000000,0,0,0,214302720,248782848,2000000,2000000,dense,1000,disable-under-delta
ep_annihilation,1000000,local,1,4,true,0.026485,1000000,37.757,1,0.7404,0.7404,0.2163,248782848,0,0,0,0,1000000,0,0,0,214302720,248782848,2000000,2000000,dense,1000,disable-under-delta
ep_annihilation,3162278,sequential,0,0,true,0.072492,3162278,43.622,0,1.0000,1.0000,0.0000,509440000,0,0,0,0,3162278,0,0,0,509440000,509440000,6324556,0,dense,1000,disable-under-delta
ep_annihilation,3162278,sequential,0,1,true,0.084768,3162278,37.305,0,1.0000,1.0000,0.0000,755167232,0,0,0,0,3162278,0,0,0,509440000,755167232,6324556,0,dense,1000,disable-under-delta
ep_annihilation,3162278,sequential,0,2,true,0.073635,3162278,42.945,0,1.0000,1.0000,0.0000,755220480,0,0,0,0,3162278,0,0,0,509440000,755220480,6324556,0,dense,1000,disable-under-delta
ep_annihilation,3162278,sequential,0,3,true,0.081536,3162278,38.784,0,1.0000,1.0000,0.0000,755220480,0,0,0,0,3162278,0,0,0,509440000,755220480,6324556,0,dense,1000,disable-under-delta
ep_annihilation,3162278,sequential,0,4,true,0.076609,3162278,41.278,0,1.0000,1.0000,0.0000,755220480,0,0,0,0,3162278,0,0,0,509440000,755220480,6324556,0,dense,1000,disable-under-delta
ep_annihilation,3162278,local,1,0,true,0.097342,3162278,32.486,1,0.7870,0.7870,0.3279,763346944,0,0,0,0,3162278,0,0,0,509440000,763346944,6324556,6324556,dense,1000,disable-under-delta
ep_annihilation,3162278,local,1,1,true,0.090447,3162278,34.963,1,0.8470,0.8470,0.3222,763346944,0,0,0,0,3162278,0,0,0,509440000,763346944,6324556,6324556,dense,1000,disable-under-delta
ep_annihilation,3162278,local,1,2,true,0.087955,3162278,35.953,1,0.8710,0.8710,0.3093,763346944,0,0,0,0,3162278,0,0,0,509440000,763346944,6324556,6324556,dense,1000,disable-under-delta
ep_annihilation,3162278,local,1,3,true,0.090922,3162278,34.780,1,0.8426,0.8426,0.3194,763346944,0,0,0,0,3162278,0,0,0,509440000,763346944,6324556,6324556,dense,1000,disable-under-delta
ep_annihilation,3162278,local,1,4,true,0.090179,3162278,35.067,1,0.8495,0.8495,0.3152,763346944,0,0,0,0,3162278,0,0,0,509440000,763346944,6324556,6324556,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,0,true,0.000200,10000,49.902,0,1.0000,1.0000,0.0000,6762496,0,0,0,0,10000,0,0,0,6762496,6762496,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,1,true,0.000223,10000,44.854,0,1.0000,1.0000,0.0000,7286784,0,0,0,0,10000,0,0,0,6762496,7286784,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,2,true,0.000210,10000,47.566,0,1.0000,1.0000,0.0000,7286784,0,0,0,0,10000,0,0,0,6762496,7286784,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,3,true,0.000219,10000,45.581,0,1.0000,1.0000,0.0000,7286784,0,0,0,0,10000,0,0,0,6762496,7286784,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,sequential,0,4,true,0.000198,10000,50.491,0,1.0000,1.0000,0.0000,7286784,0,0,0,0,10000,0,0,0,6762496,7286784,20000,0,dense,1000,disable-under-delta
ep_annihilation,10000,local,2,0,true,0.003235,10000,3.091,1,0.0650,0.0325,0.9250,10375168,0,0,0,0,10000,0,0,0,6762496,10375168,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,2,1,true,0.003280,10000,3.049,1,0.0641,0.0321,0.8903,10375168,0,0,0,0,10000,0,0,0,6762496,10375168,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,2,2,true,0.003360,10000,2.976,1,0.0626,0.0313,0.9272,10375168,0,0,0,0,10000,0,0,0,6762496,10375168,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,2,3,true,0.003196,10000,3.129,1,0.0658,0.0329,0.9242,10375168,0,0,0,0,10000,0,0,0,6762496,10375168,20000,20000,dense,1000,disable-under-delta
ep_annihilation,10000,local,2,4,true,0.003447,10000,2.901,1,0.0610,0.0305,0.9276,10375168,0,0,0,0,10000,0,0,0,6762496,10375168,20000,20000,dense,1000,disable-under-delta
