benchmark,input_size,workers,mode,repetition,round,partition_time_secs,compute_time_secs,merge_time_secs,network_time_secs,border_redexes,border_ratio,agents_at_start,bytes_sent,bytes_received
ep_annihilation_con,100,1,local,0,0,0.000000,0.000010,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,1,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,2,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,3,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,4,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,5,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,6,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,7,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,8,0,0.000000,0.000009,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,1,local,9,0,0.000000,0.000011,0.000000,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,0,0,0.000011,0.000011,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,1,0,0.000010,0.000010,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,2,0,0.000010,0.000010,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,3,0,0.000010,0.000010,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,4,0,0.000010,0.000010,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,5,0,0.000010,0.000010,0.000003,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,6,0,0.000010,0.000010,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,7,0,0.000010,0.000010,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,8,0,0.000010,0.000011,0.000001,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,2,local,9,0,0.000010,0.000010,0.000003,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,0,0,0.000012,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,1,0,0.000012,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,2,0,0.000013,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,3,0,0.000012,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,4,0,0.000012,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,5,0,0.000012,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,6,0,0.000011,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,7,0,0.000012,0.000010,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,8,0,0.000012,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,4,local,9,0,0.000012,0.000011,0.000002,0.000000,0,0.000000,200,0,0
ep_annihilation_con,100,8,local,0,0,0.000025,0.000014,0.000004,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,1,0,0.000024,0.000014,0.000003,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,2,0,0.000024,0.000014,0.000004,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,3,0,0.000023,0.000013,0.000003,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,4,0,0.000023,0.000013,0.000003,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,5,0,0.000024,0.000014,0.000004,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,6,0,0.000024,0.000013,0.000003,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,7,0,0.000023,0.000013,0.000003,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,8,0,0.000022,0.000012,0.000003,0.000000,4,0.040000,200,0,0
ep_annihilation_con,100,8,local,9,0,0.000022,0.000013,0.000003,0.000000,4,0.040000,200,0,0
ep_annihilation_con,500,1,local,0,0,0.000000,0.000074,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,1,0,0.000000,0.000075,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,2,0,0.000000,0.000068,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,3,0,0.000000,0.000071,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,4,0,0.000000,0.000072,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,5,0,0.000000,0.000071,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,6,0,0.000000,0.000071,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,7,0,0.000000,0.000106,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,8,0,0.000000,0.000071,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,1,local,9,0,0.000000,0.000071,0.000000,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,0,0,0.000050,0.000058,0.000009,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,1,0,0.000051,0.000060,0.000008,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,2,0,0.000052,0.000059,0.000008,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,3,0,0.000051,0.000061,0.000009,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,4,0,0.000051,0.000060,0.000009,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,5,0,0.000053,0.000068,0.000014,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,6,0,0.000052,0.000060,0.000008,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,7,0,0.000049,0.000059,0.000010,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,8,0,0.000051,0.000057,0.000008,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,2,local,9,0,0.000054,0.000058,0.000008,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,0,0,0.000072,0.000066,0.000012,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,1,0,0.000068,0.000068,0.000019,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,2,0,0.000060,0.000063,0.000015,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,3,0,0.000065,0.000063,0.000010,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,4,0,0.000064,0.000063,0.000014,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,5,0,0.000062,0.000061,0.000015,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,6,0,0.000069,0.000067,0.000015,0.000000,0,0.000000,1000,0,0
ep_annihilation_con,500,4,local,7,0,0.000071,0.000068,0.000016,0.000000,0,0.000000,1000,0,0
